# Mexico language classification — family + primary state per ISO 639-3.
# Anchors the "by family" and "by state" groupings in mx.toml.
# Sources: SIL ISO 639-3 registry, Glottolog, Ethnologue, INALI, Wikipedia.
# STATUS: family = high confidence; state = best-effort (single primary state;
# some languages span 2 — see notes). Review/correct before treating as final.
#
# iso	family	state
amu	Amuzgo	Guerrero
azd	Nahuatl	Durango
azg	Amuzgo	Oaxaca
azz	Nahuatl	Puebla
cco	Chinantec	Oaxaca
chd	Chontal	Oaxaca
chf	Chol	Tabasco
chq	Chinantec	Oaxaca
chz	Chinantec	Oaxaca
cle	Chinantec	Oaxaca
cnl	Chinantec	Oaxaca
cnt	Chinantec	Oaxaca
cok	Cora	Nayarit
cpa	Chinantec	Oaxaca
cso	Chinantec	Oaxaca
cta	Chatino	Oaxaca
ctp	Chatino	Oaxaca
ctu	Chol	Chiapas
cuc	Chinantec	Oaxaca
cut	Cuicatec	Oaxaca
cux	Cuicatec	Oaxaca
hch	Huichol	Jalisco
huv	Huave	Oaxaca
jmx	Mixtec	Oaxaca
knj	Akateko	Chiapas
lac	Lacandon	Chiapas
maj	Mazatec	Oaxaca
maq	Mazatec	Oaxaca
mau	Mazatec	Oaxaca
maz	Mazahua	México
mbz	Mixtec	Oaxaca
mco	Mixe	Oaxaca
mdv	Mixtec	Oaxaca
meh	Mixtec	Oaxaca
mfy	Mayo	Sonora
mie	Mixtec	Oaxaca
mig	Mixtec	Oaxaca
mih	Mixtec	Oaxaca
mil	Mixtec	Oaxaca
mim	Mixtec	Guerrero
mio	Mixtec	Oaxaca
mir	Mixe	Oaxaca
mit	Mixtec	Puebla
miy	Mixtec	Oaxaca
miz	Mixtec	Oaxaca
mjc	Mixtec	Oaxaca
mks	Mixtec	Oaxaca
mix	Mixtec	Oaxaca
mpm	Mixtec	Oaxaca
mto	Mixe	Oaxaca
mxb	Mixtec	Oaxaca
mxq	Mixe	Oaxaca
mxt	Mixtec	Oaxaca
mxv	Mixtec	Guerrero
mza	Mixtec	Oaxaca
nch	Nahuatl	Hidalgo
ncj	Nahuatl	Puebla
ncl	Nahuatl	Michoacán
ngu	Nahuatl	Guerrero
nhe	Nahuatl	Veracruz
nhg	Nahuatl	Morelos
nhi	Nahuatl	Puebla
nhw	Nahuatl	San Luis Potosí
nhy	Nahuatl	Oaxaca
npl	Nahuatl	Veracruz
nsu	Nahuatl	Puebla
ntp	Tepehuan	Chihuahua
nuz	Nahuatl	Guerrero
ood	O'odham	Sonora
otm	Otomi	Hidalgo
otn	Otomi	Hidalgo
otq	Otomi	Querétaro
ots	Otomi	México
pls	Popoloca	Oaxaca
pmq	Pame	San Luis Potosí
poe	Popoloca	Puebla
poi	Popoluca	Veracruz
pps	Popoloca	México
stp	Tepehuan	Durango
tac	Tarahumara	Chihuahua
tcf	Tlapanec	Guerrero
tee	Tepehua	Hidalgo
tku	Totonac	Puebla
toc	Totonac	Veracruz
toj	Tojolabal	Chiapas
too	Totonac	Puebla
tos	Totonac	Puebla
tpl	Tlapanec	Guerrero
tpp	Tepehua	Veracruz
tpt	Tepehua	Veracruz
tpx	Tlapanec	Guerrero
tqt	Totonac	Puebla
trc	Triqui	Oaxaca
trq	Triqui	Oaxaca
trs	Triqui	Oaxaca
var	Tarahumara	Chihuahua
vmj	Mixtec	Oaxaca
vmy	Mazatec	Oaxaca
vmz	Mazatec	Oaxaca
xta	Mixtec	Guerrero
xtd	Mixtec	Oaxaca
xtj	Mixtec	Oaxaca
xtn	Mixtec	Oaxaca
yaq	Yaqui	Sonora
zaa	Zapotec	Oaxaca
zab	Zapotec	Oaxaca
zac	Zapotec	Oaxaca
zad	Zapotec	Oaxaca
zai	Zapotec	Oaxaca
zam	Zapotec	Oaxaca
zao	Zapotec	Oaxaca
zaq	Zapotec	Oaxaca
zar	Zapotec	Oaxaca
zas	Zapotec	Oaxaca
zat	Zapotec	Oaxaca
zav	Zapotec	Oaxaca
zaw	Zapotec	Oaxaca
zca	Zapotec	Oaxaca
zos	Zoque	Chiapas
zpc	Zapotec	Oaxaca
zpg	Zapotec	Oaxaca
zpi	Zapotec	Oaxaca
zpl	Zapotec	Oaxaca
zpm	Zapotec	Oaxaca
zpo	Zapotec	Oaxaca
zpq	Zapotec	Oaxaca
zpt	Zapotec	Oaxaca
zpu	Zapotec	Oaxaca
zpv	Zapotec	Oaxaca
zpz	Zapotec	Oaxaca
zsr	Zapotec	Oaxaca
ztl	Zapotec	Oaxaca
ztp	Zapotec	Oaxaca
ztq	Zapotec	Oaxaca
zts	Zapotec	Oaxaca
zty	Zapotec	Oaxaca
